iter	Logloss
0	0.6677241836
1	0.6424408863
2	0.616946062
3	0.5943402637
4	0.5766749782
5	0.5618736348
6	0.5436011075
7	0.5286327146
8	0.51316172
9	0.5022452365
10	0.4920260313
11	0.480442716
12	0.4733281026
13	0.4648134863
14	0.4565011162
15	0.4519185397
16	0.4438460994
17	0.4376667547
18	0.4316752023
19	0.4250817241
20	0.4211072221
21	0.4180693743
22	0.4122993888
23	0.4068691453
24	0.4046709925
25	0.4009124301
26	0.3984221027
27	0.3961994527
28	0.3923338174
29	0.3894435921
30	0.3873037369
31	0.3845381581
32	0.3817061628
33	0.3797213344
34	0.3775117343
35	0.3745350358
36	0.3726773149
37	0.3704592914
38	0.3687844949
39	0.3666480432
40	0.3653199921
41	0.362581037
42	0.3608522412
43	0.3596627968
44	0.3579506612
45	0.3551875393
46	0.352675583
47	0.3505410224
48	0.349315789
49	0.3471924739
50	0.3451052287
51	0.342754975
52	0.3421506262
53	0.3406234176
54	0.3375673332
55	0.3350789497
56	0.333888411
57	0.3327617468
58	0.331610728
59	0.3296503105
60	0.3283009723
61	0.3268965948
62	0.326219955
63	0.3254078135
64	0.3241898396
65	0.3216212068
66	0.3198648054
67	0.3185005874
68	0.3173478586
69	0.3154953633
70	0.3152491957
71	0.3144385809
72	0.31418461
73	0.3127300641
74	0.3118062736
75	0.3103930833
76	0.3099561515
77	0.3088513959
78	0.3075948815
79	0.3062262225
80	0.3055135237
81	0.3041533928
82	0.3028786059
83	0.301355274
84	0.30014136
85	0.299041946
86	0.2985967359
87	0.2977789301
88	0.2971616117
89	0.296062742
90	0.2956406487
91	0.2952465613
92	0.2948743976
93	0.2936422883
94	0.2928086767
95	0.2918896307
96	0.2909131374
97	0.28995727
98	0.2898064787
99	0.2893596105
100	0.2890780068
101	0.2888305995
102	0.2881187494
103	0.2877505924
104	0.2872177442
105	0.2862575407
106	0.2857475928
107	0.2850045467
108	0.2841392688
109	0.2826779312
110	0.2820079777
111	0.2815063807
112	0.2812380552
113	0.2807225692
114	0.2801874361
115	0.2797099911
116	0.2792038908
117	0.2790301616
118	0.2781764432
119	0.2771250998
