iter	Passed	Remaining
0	107	73354
1	182	62024
2	264	59864
3	355	60411
4	458	62170
5	516	58239
6	588	56823
7	683	57681
8	764	57278
9	823	55452
10	884	54013
11	942	52684
12	1005	51799
13	1067	51012
14	1127	50204
15	1191	49676
16	1255	49167
17	1369	50588
18	1471	51418
19	1573	52152
20	1659	52306
21	1744	52426
22	1830	52530
23	1910	52450
24	1978	52068
25	2052	51866
26	2145	52128
27	2220	51948
28	2312	52161
29	2392	52077
30	2476	52076
31	2547	51833
32	2613	51481
33	2669	50957
34	2732	50582
35	2824	50766
36	2887	50414
37	2967	50361
38	3033	50093
39	3136	50415
40	3213	50313
41	3277	50024
42	3380	50313
43	3459	50236
44	3516	49856
45	3579	49567
46	3680	49809
47	3773	49920
48	3864	49999
49	3995	50578
50	4062	50341
51	4126	50079
52	4189	49805
53	4291	49990
54	4369	49895
55	4446	49782
56	4520	49651
57	4624	49830
58	4688	49591
59	4763	49465
60	4829	49247
61	4919	49273
62	5012	49329
63	5112	49449
64	5184	49291
65	5256	49143
66	5339	49087
67	5443	49234
68	5520	49120
69	5653	49511
70	5716	49277
71	5810	49308
72	5909	49383
73	5992	49312
74	6071	49219
75	6173	49303
76	6248	49179
77	6317	49000
78	6414	49041
79	6525	49185
80	6630	49275
81	6722	49269
82	6791	49094
83	6912	49291
84	7014	49352
85	7085	49187
86	7139	48908
87	7245	48989
88	7333	48944
89	7420	48895
90	7476	48641
91	7571	48637
92	7640	48471
93	7702	48261
94	7808	48333
95	7873	48144
96	7947	48015
97	8030	47936
98	8096	47759
99	8169	47625
100	8235	47458
101	8331	47454
102	8423	47434
103	8485	47239
104	8554	47090
105	8652	47100
106	8716	46923
107	8804	46875
108	8909	46917
109	8991	46835
110	9069	46735
111	9176	46785
112	9242	46622
113	9341	46627
114	9418	46517
115	9506	46465
116	9602	46453
117	9692	46408
118	9785	46380
119	9862	46269
